"product_id","product_name","total_unit_sold","total_returned","return_percentage"
749,"Pet Travel Water Bottle","1","1","100.00000000000000000000"
745,"Cat Wand Toy","3","2","66.66666666666666666700"
743,"Dog Toothpaste","3","2","66.66666666666666666700"
570,"Yoga Mat","6","3","50.00000000000000000000"
301,"Canon EOS 77D Camera Kit","7","3","42.85714285714285714300"
523,"Vegetable Peeler","10","4","40.00000000000000000000"
355,"Women's Denim Jacket","8","3","37.50000000000000000000"
343,"Women's Denim Skirt","8","3","37.50000000000000000000"
538,"Tea Canister Set","8","3","37.50000000000000000000"
257,"Logitech MX Keys Mini","11","4","36.36363636363636363600"
438,"Women's Polka Dot Dress","11","4","36.36363636363636363600"
497,"Herb Scissors","14","5","35.71428571428571428600"
486,"Silicone Spatula Set","14","5","35.71428571428571428600"
744,"Pet First Aid Kit","6","2","33.33333333333333333300"
628,"Running Watch","9","3","33.33333333333333333300"
303,"Razer Kraken Ultimate Gaming Headset","6","2","33.33333333333333333300"
298,"Razer BlackWidow V3 Keyboard","6","2","33.33333333333333333300"
748,"Dog Play Pen","3","1","33.33333333333333333300"
144,"TP-Link Deco X20 Mesh Wi-Fi System","25","8","32.00000000000000000000"
316,"Unisex Sunglasses","13","4","30.76923076923076923100"
590,"Trampoline","13","4","30.76923076923076923100"
352,"Men's Leather Gloves","10","3","30.00000000000000000000"
428,"Unisex Messenger Bag","10","3","30.00000000000000000000"
579,"Dog Bed","10","3","30.00000000000000000000"
430,"Women's Faux Fur Coat","10","3","30.00000000000000000000"
633,"Pet Wipes","10","3","30.00000000000000000000"
369,"Men's Formal Trousers","10","3","30.00000000000000000000"
648,"Child's Scooter","17","5","29.41176470588235294100"
134,"GoPro HERO9 Black","34","10","29.41176470588235294100"
181,"DJI Mavic Air 2","41","12","29.26829268292682926800"
229,"DJI Pocket 2","31","9","29.03225806451612903200"
606,"Cat Carrier","7","2","28.57142857142857142900"
607,"Pet Water Fountain","7","2","28.57142857142857142900"
357,"Men's Performance Shorts","7","2","28.57142857142857142900"
286,"Microsoft Surface Laptop 3","7","2","28.57142857142857142900"
306,"Canon EOS 6D Mark II Camera Kit","14","4","28.57142857142857142900"
565,"Stuffed Animal","14","4","28.57142857142857142900"
451,"Slow Cooker","7","2","28.57142857142857142900"
543,"Casserole Dish Set","14","4","28.57142857142857142900"
426,"Men's Work Boots","7","2","28.57142857142857142900"
233,"Logitech Brio 4K Ultra HD Webcam","36","10","27.77777777777777777800"
521,"Wall-Mounted Bottle Opener","11","3","27.27272727272727272700"
475,"Ice Cream Maker","11","3","27.27272727272727272700"
491,"Chafing Dish Set","11","3","27.27272727272727272700"
569,"Tennis Racket","11","3","27.27272727272727272700"
460,"Kitchen Scale","11","3","27.27272727272727272700"
524,"Kitchen Gadget Set","11","3","27.27272727272727272700"
300,"Microsoft Surface Headphones","15","4","26.66666666666666666700"
324,"Men's Cargo Pants","15","4","26.66666666666666666700"
394,"Men's Fleece Pants","15","4","26.66666666666666666700"
588,"Board Game","15","4","26.66666666666666666700"
437,"Men's Utility Jacket","15","4","26.66666666666666666700"
587,"Aquarium Filter","15","4","26.66666666666666666700"
50,"Dell Inspiron 14 5000","35","9","25.71428571428571428600"
537,"Spice Grinder","8","2","25.00000000000000000000"
184,"Logitech Brio 4K Webcam","28","7","25.00000000000000000000"
453,"Toaster Oven","8","2","25.00000000000000000000"
256,"Microsoft Surface Pro 7","8","2","25.00000000000000000000"
540,"Salad Spinner","12","3","25.00000000000000000000"
329,"Men's Polo Shirt","8","2","25.00000000000000000000"
472,"Food Storage Containers","8","2","25.00000000000000000000"
291,"Razer Naga Pro Wireless Gaming Mouse","4","1","25.00000000000000000000"
522,"Microwave Popcorn Popper","12","3","25.00000000000000000000"
271,"Canon RF 24-105mm f/4L IS USM Lens","8","2","25.00000000000000000000"
372,"Men's Casual Vest","8","2","25.00000000000000000000"
275,"Logitech G920 Racing Wheel","4","1","25.00000000000000000000"
375,"Women's Platform Sneakers","8","2","25.00000000000000000000"
500,"Grater Set","16","4","25.00000000000000000000"
248,"Canon RF 85mm f/1.2L USM Lens","32","8","25.00000000000000000000"
493,"Trash Can with Lid","8","2","25.00000000000000000000"
503,"Oven Mitts Set","8","2","25.00000000000000000000"
418,"Unisex Fanny Pack","12","3","25.00000000000000000000"
