"seller_id","last_sale_date","last_sale_amount"
42,"2024-06-29","359.96999999999997"
4,"2024-07-26","11699.97"
34,"2024-07-22","4999.99"
51,"2024-07-24","899.97"
46,"2024-07-25","319.96"
40,"2024-07-27","599.98"
52,"2024-07-18","239.96999999999997"
43,"2024-07-26","599.9399999999999"
7,"2024-05-28","6899.969999999999"
10,"2024-07-26","5399.97"
9,"2024-04-29","6299.969999999999"
35,"2024-07-20","5399.9400000000005"
45,"2024-07-27","599.98"
38,"2024-06-27","299.96999999999997"
15,"2024-07-26","11699.97"
6,"2024-07-27","4499.99"
48,"2024-06-24","599.9399999999999"
39,"2024-07-23","449.95"
19,"2024-07-26","4799.97"
25,"2024-07-25","9899.97"
21,"2024-07-21","14999.97"
49,"2024-07-16","359.96"
47,"2024-07-19","839.93"
3,"2024-07-26","14999.97"
17,"2024-06-23","2599.98"
37,"2024-06-22","1799.94"
22,"2024-07-26","5399.97"
20,"2024-07-20","4999.99"
13,"2024-07-23","5099.97"
33,"2024-07-24","4999.99"
5,"2024-07-22","14999.97"
2,"2024-07-21","10499.97"
16,"2024-07-20","5399.97"
27,"2024-07-24","4999.99"
11,"2024-07-21","6899.969999999999"
