"state","category_name","total_sale","rank"
"California","home & kitchen","914.6500000000002","1"
"Colorado","Toys & Games","104.97","1"
"Connecticut","Toys & Games","29.99","1"
"Delaware","Toys & Games","94.97","1"
"Florida","Pet Supplies","44.97","1"
"Georgia","home & kitchen","29.99","1"
"Hawaii","home & kitchen","22.99","1"
"Idaho","Sports & Outdoors","79.98","1"
"Illinois","home & kitchen","16.99","1"
"Indiana","home & kitchen","59.97","1"
"Iowa","home & kitchen","59.99","1"
"Kansas","clothing","39.99","1"
"Kentucky","clothing","149.97","1"
"Louisiana","Sports & Outdoors","49.98","1"
"Maine","Sports & Outdoors","104.94","1"
"Maryland","clothing","45.98","1"
"Massachusetts","Toys & Games","38.97","1"
"Michigan","Pet Supplies","131.94","1"
"Minnesota","clothing","84.98","1"
"Mississippi","clothing","64.98","1"
"Missouri","Pet Supplies","61.97","1"
"Montana","home & kitchen","12.99","1"
"Nebraska","Toys & Games","109.98","1"
"Nevada","Sports & Outdoors","291.88","1"
"New Hampshire","Sports & Outdoors","29.98","1"
"New Jersey","clothing","49.99","1"
"New Mexico","home & kitchen","38.97","1"
"New York","home & kitchen","1551.7100000000003","1"
"North Carolina","Sports & Outdoors","39.98","1"
"North Dakota","home & kitchen","12.99","1"
"Ohio","home & kitchen","52705.470000000285","1"
"Oklahoma","clothing","2616.4","1"
"Oregon","home & kitchen","985.6400000000002","1"
"Pennsylvania","home & kitchen","1050.7","1"
"Rhode Island","clothing","2000.5500000000002","1"
"South Carolina","home & kitchen","1795.5300000000002","1"
"South Dakota","clothing","2434.53","1"
"Tennessee","home & kitchen","2030.4600000000003","1"
"Texas","home & kitchen","19264.369999999944","1"
